date,open,high,low,close,volume
2026-02-06,3.43,3.47,3.39,3.44,415381
2026-02-09,3.51,3.78,3.5,3.78,1929956
2026-02-10,3.83,3.93,3.78,3.87,3225166
2026-02-11,3.87,3.98,3.81,3.83,2268856
2026-02-12,3.89,3.99,3.83,3.94,2375133
2026-02-13,3.9,4.1,3.9,3.92,1794950
2026-02-24,3.99,4.0,3.87,3.95,1565133
2026-02-25,3.95,3.97,3.9,3.94,1083127
2026-02-26,3.95,4.01,3.94,3.97,1129199
2026-02-27,3.91,4.14,3.9,4.05,2037657
2026-03-02,3.92,3.98,3.82,3.87,1749520
2026-03-03,3.85,3.9,3.63,3.64,1602720
2026-03-04,3.59,3.74,3.56,3.62,1087281
2026-03-05,3.75,3.98,3.74,3.98,1491373
2026-03-06,3.96,4.05,3.9,4.02,2824341
2026-03-09,3.98,4.12,3.95,4.09,2451200
2026-03-10,4.16,4.4,4.1,4.15,3125806
2026-03-11,4.17,4.37,4.1,4.26,2990412
2026-03-12,4.27,4.51,4.24,4.41,3437445
2026-03-13,4.34,4.35,4.14,4.16,2642910
2026-03-16,4.19,4.28,4.1,4.23,1856037
2026-03-17,4.24,4.26,4.03,4.04,1629390
2026-03-18,4.11,4.44,4.1,4.44,2416748
2026-03-19,4.68,4.88,4.56,4.88,2846692
2026-03-20,4.88,4.88,4.39,4.39,6427274
2026-03-23,4.3,4.61,4.3,4.36,4627465
2026-03-24,4.42,4.8,4.4,4.8,3808421
2026-03-25,5.28,5.28,5.28,5.28,657563
2026-03-26,5.81,5.81,5.37,5.53,10379676
2026-03-27,5.32,6.08,5.13,6.08,10417572
